customer_id,churn_probability,churn_prediction
0002-ORFBO,0.12445228898636478,0
0003-MKNFE,0.034250758186946575,0
0004-TLHLJ,0.3998557294397914,0
0011-IGKFF,0.324288159123316,0
0013-EXCHZ,0.25357627039590985,0
0013-MHZWF,0.4105715612382689,0
0013-SMEOE,0.32952635578339395,0
0014-BMAQU,0.08584144867610835,0
0015-UOCOJ,0.23232464450649967,0
0016-QLJIS,0.1604176251055844,0
0017-DINOC,0.21199117790091887,0
0017-IUDMW,0.3021205896062438,0
0018-NYROU,0.42999109162153265,0
0019-EFAEP,0.39206744080012257,0
0019-GFNTW,0.4366917114664984,0
0020-INWCK,0.2904493048469387,0
0020-JDNXP,0.18393201683623442,0
0021-IKXGC,0.3975360909662403,0
0022-TCJCI,0.09825147713962744,0
0023-HGHWL,0.007438912485642743,0
0023-UYUPN,0.4446209576724263,0
0023-XUOPT,0.0419165396988903,0
0027-KWYKW,0.4628659562690957,0
0030-FNXPP,0.04426277516699989,0
0031-PVLZI,0.14770302330000815,0
0032-PGELS,0.24375577499352694,0
0036-IHMOT,0.4295959419513427,0
0040-HALCW,0.022297062952593098,0
0042-JVWOJ,0.04419979904034607,0
0042-RLHYP,0.45360129549777517,0
0048-LUMLS,0.3186229482410555,0
0048-PIHNL,0.7018277550608668,1
0052-DCKON,0.5701076707696302,1
0052-YNYOT,0.4420666668235908,0
0056-EPFBG,0.10741396020211014,0
0057-QBUQH,0.2427811729938197,0
0058-EVZWM,0.6010539129734548,1
0060-FUALY,0.3548468351500908,0
0064-SUDOG,0.00730064468223165,0
0064-YIJGF,0.09741814380629413,0
0067-DKWBL,0.5549925649930348,1
0068-FIGTF,0.3275516697926663,0
0071-NDAFP,0.15331903290830795,0
0074-HDKDG,0.31042926281885125,0
0076-LVEPS,0.0825764102412424,0
0078-XZMHT,0.2759440587330839,0
0080-EMYVY,0.19567965059271283,0
0080-OROZO,0.01605187000246658,0
0082-LDZUE,0.24412614454832368,0
0082-OQIQY,0.27924947500881586,0
0083-PIVIK,0.549542077358939,1
0089-IIQKO,0.392293004709897,0
0093-EXYQL,0.22832909728255923,0
0093-XWZFY,0.3230129420178259,0
0094-OIFMO,0.2963050525019974,0
0096-BXERS,0.6031598473913681,1
0096-FCPUF,0.46724630196343,0
0098-BOWSO,0.3912380574339156,0
0100-DUVFC,0.4966117107320411,0
0103-CSITQ,0.5927019789145804,1
0104-PPXDV,0.15159499423583353,0
0106-GHRQR,0.5662508574861878,1
0106-UGRDO,0.0822983252358312,0
0107-WESLM,0.32797489087270326,0
0107-YHINA,0.16082954883348108,0
0111-KLBQG,0.6495974521885534,1
0112-QAWRZ,0.09644531524495623,0
0112-QWPNC,0.5662508574861878,1
0114-IGABW,0.22660435860660108,0
0114-PEGZZ,0.00802398129577549,0
0114-RSRRW,0.48471174403207434,0
0115-TFERT,0.03209832003079843,0
0117-LFRMW,0.33525515538500783,0
0118-JPNOY,0.018416029680079302,0
0121-SNYRK,0.5794669091239616,1
0122-OAHPZ,0.14235564906992415,0
0123-CRBRT,0.3104577179042543,0
0125-LZQXK,0.190390086099439,0
0128-MKWSG,0.28863294974877823,0
0129-KPTWJ,0.022067997094201215,0
0129-QMPDR,0.38515297584883407,0
0130-SXOUN,0.6495974521885534,1
0133-BMFZO,0.2840505997802024,0
0134-XWXCE,0.3159442040860293,0
0135-NMXAP,0.6642261111304033,1
0136-IFMYD,0.3409191805471752,0
0137-OCGAB,0.3813017432410256,0
0137-UDEUO,0.017329215200835135,0
0139-IVFJG,0.4549548119440927,0
0141-YEAYS,0.4966117107320411,0
0142-GVYSN,0.6413704540423931,1
0147-ESWWR,0.47205770642887324,0
0148-DCDOS,0.025613373611744695,0
0151-ONTOV,0.5644062165516304,1
0156-FVPTA,0.3589194990790534,0
0164-APGRB,0.1509337925307774,0
0164-XAIRP,0.3559034575099098,0
0168-XZKBB,0.02634418164913708,0
0174-QRVVY,0.021178034559154256,0
0177-PXBAT,0.29931948937536385,0
0178-CIIKR,0.5936793390620813,1
0178-SZBHO,0.11795968906773747,0
0181-RITDD,0.5026482174660576,1
0186-CAERR,0.4075243176774994,0
0187-QSXOE,0.033134402183736575,0
0187-WZNAB,0.28484267469868546,0
0188-GWFLE,0.0774145586491472,0
0191-EQUUH,0.073745995448075,0
0191-ZHSKZ,0.30671774831078336,0
0193-ESZXP,0.4269536699076437,0
0195-IESCP,0.7307373429801336,1
0196-JTUQI,0.003885713492364398,0
0196-VULGZ,0.2747053953977792,0
0197-PNKNK,0.14132045238255353,0
0201-MIBOL,0.4717109336678576,0
0201-OAMXR,0.013921937295151373,0
0203-HHYIJ,0.20827557918903905,0
0206-OYVOC,0.336118320529858,0
0206-TBWLC,0.3144237530066879,0
0207-MDKNV,0.034563258186946576,0
0208-BPQEJ,0.29492973159033814,0
0212-ISBBF,0.2833559340676832,0
0214-JHPFW,0.5738042213675919,1
0215-BQKGS,0.40561701578372333,0
0218-QNVAS,0.01605187000246658,0
0219-QAERP,0.6685127167233518,1
0219-YTZUE,0.3252532017580856,0
0220-EBGCE,0.5455446280464874,1
0221-NAUXK,0.5738042213675919,1
0221-WMXNQ,0.5480809028593806,1
0222-CNVPT,0.6243901525064148,1
0224-HJAPT,0.4471711494407302,0
0224-NIJLP,0.3813017432410256,0
0224-RLWWD,0.5442892594774312,1
0225-ZORZP,0.22428581551971988,0
0228-MAUWC,0.5662508574861878,1
0229-LFJAF,0.01831822023685595,0
0230-UBYPQ,0.005688229811376994,0
0230-WEQUW,0.26355552700117946,0
0231-LXVAP,0.4966117107320411,0
0233-FTHAV,0.007885713492364398,0
0234-TEVTT,0.4487789831266516,0
0235-KGSLC,0.09545273022258643,0
0236-HFWSV,0.32800727434909965,0
0237-YFUTL,0.5644062165516304,1
0238-WHBIQ,0.4885808222666694,0
0239-OXEXL,0.09741814380629413,0
0244-LGNFY,0.01085165032168544,0
0247-SLUJI,0.137790361157653,0
0248-IPDFW,0.4134416339561378,0
0248-PGHBZ,0.09849300661420489,0
0253-ZTEOB,0.41538476424967996,0
0254-FNMCI,0.33077888313026094,0
0254-KCJGT,0.15489259061037972,0
0254-WWRKD,0.0337649866974651,0
0256-LTHVJ,0.19222562590810205,0
0257-KXZGU,0.5632508574861878,1
0257-ZESQC,0.4314499238807379,0
0258-NOKBL,0.5709672095536973,1
0259-GBZSH,0.4842841715489659,0
0260-ZDLGK,0.005688229811376994,0
0263-FJTQO,0.010528700001418208,0
0264-CNITK,0.2619040435680981,0
0265-EDXBD,0.3363763595893936,0
0265-PSUAE,0.31204116369822643,0
0266-CLZKZ,0.18845741488277576,0
0266-GMEAO,0.013681720088683244,0
0268-QKIWO,0.549542077358939,1
0269-XFESX,0.278242953424169,0
0270-THENM,0.549542077358939,1
0274-JKUJR,0.20799858211612665,0
0277-BKSQP,0.43299647732776514,0
0277-ORXQS,0.38515297584883407,0
0278-YXOOG,0.01753168340489748,0
0280-XJGEX,0.09244417371174578,0
0281-CNTZX,0.08707334976440276,0
0282-NVSJS,0.11975231887248997,0
0285-INHLN,0.4101566568753946,0
0289-IVARM,0.24191675292829914,0
0292-WEGCH,0.04058320636555697,0
0295-PPHDO,0.034250758186946575,0
0295-QVKPB,0.13354152901576785,0
0297-RBCSG,0.22852994056913264,0
0298-XACET,0.058699544843472645,0
